3	NO	2023-10-28 17:37:05
1	YES	2023-10-29 08:55:17
3	NO	2023-10-29 08:55:49
1	NO	2023-10-29 08:55:54
1	NO	2023-10-29 08:56:06
1	NO	2023-10-29 08:56:11
3	NO	2023-10-29 08:56:17
1	NO	2023-10-29 08:56:22
3	NO	2023-10-29 08:58:33
2	NO	2023-10-29 08:58:39
1	NO	2023-10-29 08:58:45
2	NO	2023-10-29 08:58:51
1	NO	2023-10-29 08:58:56
2	NO	2023-10-29 08:59:02
3	NO	2023-10-29 08:59:08
3	NO	2023-10-29 09:01:06
2	YES	2023-10-29 09:01:12
1	YES	2023-10-29 09:01:17
2	NO	2023-10-29 09:01:23
1	NO	2023-10-29 09:01:28
2	NO	2023-10-29 09:01:34
3	NO	2023-10-29 09:01:40
3	NO	2023-10-29 09:02:17
2	NO	2023-10-29 09:02:23
1	NO	2023-10-29 09:02:29
2	NO	2023-10-29 09:02:34
1	NO	2023-10-29 09:02:40
2	NO	2023-10-29 09:02:46
3	NO	2023-10-29 09:02:52
3	YES	2023-10-29 09:03:18
